ID,BARANGAY,LAND COVERAGE,RHU
1140,Malisbong,Open Forest,0
1141,General Emilio Aguinaldo,Open Forest,0
1142,General Emilio Aguinaldo,Open Forest,0
1143,General Emilio Aguinaldo,Open Forest,0
1144,Ilvita,Closed Forest,0
1145,Malisbong,Open Forest,0
1146,Malisbong,Open Forest,0
1147,Ligaya,Grassland,0
1148,Ligaya,Grassland,0
1149,Burgos,Grassland,0
1150,Burgos,Grassland,0
1151,Pag-Asa,Grassland,0
1152,Pag-Asa,Grassland,0
1153,Pag-Asa,Grassland,0
1154,San Agustin,NULL,0
1162,Ligaya,Water,0
1163,Malisbong,Water,0
1164,Malisbong,Open Forest,0
1165,Malisbong,Open Forest,0
1166,Malisbong,Open Forest,0
1167,Malisbong,Open Forest,0
1168,Ligaya,Open Forest,0
1169,Ligaya,Open Forest,0
1170,Burgos,Open Forest,0
1171,Burgos,Open Forest,0
1172,Burgos,Open Forest,0
1173,San Agustin,Open Forest,0
1174,Ilvita,Brush/Shrubs,0
1175,Ilvita,Open Forest,0
1176,Victoria,Open Forest,0
1177,Victoria,Open Forest,0
1178,Paetan,Open Forest,0
1179,Burgos,Open Forest,0
1180,Burgos,Open Forest,0
1181,Burgos,Open Forest,0
1182,Pag-Asa,Open Forest,0
1183,Pag-Asa,Grassland,0
1184,Pag-Asa,Grassland,0
1185,Pag-Asa,Grassland,0
1186,San Agustin,Grassland,0
1187,San Agustin,Grassland,0
1188,Batong Buhay,NULL,0
1197,San Agustin,NULL,0
1198,San Agustin,Open Forest,0
1199,San Agustin,Open Forest,0
1200,San Agustin,Open Forest,0
1201,San Agustin,Open Forest,0
1202,San Agustin,Open Forest,0
1203,San Agustin,Open Forest,0
1204,San Agustin,Open Forest,0
1205,San Agustin,Open Forest,0
1206,San Agustin,Open Forest,0
1207,San Agustin,Open Forest,0
1208,San Agustin,Open Forest,0
1209,Batong Buhay,Open Forest,0
1210,San Vicente,Open Forest,0
1211,San Vicente,Open Forest,0
1212,San Vicente,Open Forest,0
1213,Batong Buhay,Open Forest,0
1214,Batong Buhay,Open Forest,0
1215,Pag-Asa,Open Forest,0
1216,Pag-Asa,Brush/Shrubs,0
1217,Pag-Asa,Open Forest,0
1218,Pag-Asa,Brush/Shrubs,0
1219,Pag-Asa,Brush/Shrubs,0
1220,Pag-Asa,Open Forest,0
1221,Batong Buhay,Grassland,0
1222,Batong Buhay,Grassland,0
1223,Malisbong,Grassland,0
1224,Malisbong,NULL,0
1232,Batong Buhay,NULL,0
1233,Batong Buhay,Open Forest,0
1234,Batong Buhay,Open Forest,0
1235,Batong Buhay,Open Forest,0
1236,Malisbong,Open Forest,0
1237,Malisbong,Open Forest,0
1238,Malisbong,Open Forest,0
1239,Malisbong,Open Forest,0
1240,Ligaya,Open Forest,0
1241,Ligaya,Open Forest,0
1242,Burgos,Open Forest,0
1243,Burgos,Open Forest,0
1244,Tuban,Open Forest,0
1245,Tuban,Open Forest,0
1246,Malisbong,Open Forest,0
1247,Malisbong,Open Forest,0
1248,Malisbong,Open Forest,0
1249,Pag-Asa,Open Forest,0
1250,Pag-Asa,Brush/Shrubs,0
1251,Pag-Asa,Brush/Shrubs,0
1252,Pag-Asa,Open Forest,0
1253,Pag-Asa,Open Forest,0
1254,Pag-Asa,Brush/Shrubs,0
1255,Pag-Asa,Grassland,0
1256,Malisbong,Grassland,0
1257,Malisbong,Grassland,0
1258,Malisbong,NULL,0
1268,Burgos,NULL,0
1269,Burgos,Open Forest,0
1270,San Agustin,Open Forest,0
1271,San Agustin,Open Forest,0
1272,San Agustin,Open Forest,0
1273,San Agustin,Open Forest,0
1274,San Agustin,Open Forest,0
1275,San Agustin,Open Forest,0
1276,San Agustin,Open Forest,0
1277,San Agustin,Open Forest,0
1278,San Agustin,Open Forest,0
1279,San Agustin,Open Forest,0
1280,General Emilio Aguinaldo,Open Forest,0
1281,Ligaya,Open Forest,0
1282,Ligaya,Open Forest,0
1283,Ilvita,Brush/Shrubs,0
1284,Ilvita,Open Forest,0
1285,Pag-Asa,Brush/Shrubs,0
1286,Pag-Asa,Brush/Shrubs,0
1287,Pag-Asa,Open Forest,0
1288,San Agustin,Open Forest,0
1289,Pag-Asa,Brush/Shrubs,0
1290,Pag-Asa,Brush/Shrubs,0
1291,Ligaya,Brush/Shrubs,0
1292,Ligaya,Brush/Shrubs,0
1293,Burgos,Brush/Shrubs,0
1294,Burgos,NULL,0
1303,San Agustin,NULL,0
1304,San Agustin,NULL,0
1305,Batong Buhay,NULL,0
1306,Batong Buhay,NULL,0
1307,Batong Buhay,NULL,0
1308,Batong Buhay,NULL,0
1309,Batong Buhay,Open Forest,0
1310,Malisbong,Open Forest,0
1311,Malisbong,Open Forest,0
1312,Malisbong,Open Forest,0
1313,Malisbong,Open Forest,0
1314,Ilvita,Open Forest,0
1315,Lagnas,Open Forest,0
1316,Paetan,Open Forest,0
1317,San Francisco,Open Forest,0
1318,San Francisco,Brush/Shrubs,0
1319,San Agustin,Open Forest,0
1320,San Agustin,Brush/Shrubs,0
1321,San Agustin,Brush/Shrubs,0
1322,San Agustin,Open Forest,0
1323,Batong Buhay,Open Forest,0
1324,Pag-Asa,Brush/Shrubs,0
1325,Pag-Asa,Brush/Shrubs,0
1326,Burgos,Open Forest,0
1327,Burgos,Brush/Shrubs,0
1328,Pag-Asa,Brush/Shrubs,0
1353,San Vicente,NULL,0
1354,San Vicente,NULL,0
1355,Batong Buhay,NULL,0
1356,Batong Buhay,NULL,0
1357,Batong Buhay,NULL,0
1358,Malisbong,NULL,0
1359,Pag-Asa,Brush/Shrubs,0
1360,Pag-Asa,Brush/Shrubs,0
1361,Pag-Asa,Open Forest,0
1362,Pag-Asa,Open Forest,0
1363,Pag-Asa,Brush/Shrubs,0
1364,Pag-Asa,NULL,0
1397,Pag-Asa,NULL,0
1398,Pag-Asa,NULL,0
